In_Apple_Serial_Nr	Item_Name	Item_Value	Item_Modifier
FHLZL4TWMLTN	Commodity_Cd 	Watch	Header
FHLZL4TWMLTN	Eng_Project_Cd 	N144B	Header
FHLZL4TWMLTN	Business Category	AC	Header
FHLZL4TWMLTN	New Buy	Y	Header
FHLZL4TWMLTN	L2_Vendor_Cd 	FQW	Header
FHLZL4TWMLTN	Input_TS	10/24/2019	Header
FHLZL4TWMLTN	Output_TS	10/24/2019	Header
FHLZL4TWMLTN	In_Apple_Part_Id 	A2093	Header
FHLZL4TWMLTN	SVC_FATP_yield	Y	Header
FHLZL4TWMLTN	File_Name	L2TXN^00201963P_FQW_20191104073001001866.zip	Header
FHLZL4TWMLTN	ALL TEST PASSED	Y	T0C0R0
FHLZL4XNMLTN	Commodity_Cd 	Watch	Header
FHLZL4XNMLTN	Eng_Project_Cd 	N144B	Header
FHLZL4XNMLTN	Business Category	AC	Header
FHLZL4XNMLTN	New Buy	Y	Header
FHLZL4XNMLTN	L2_Vendor_Cd 	FQW	Header
FHLZL4XNMLTN	Input_TS	10/24/2019	Header
FHLZL4XNMLTN	Output_TS	10/24/2019	Header
FHLZL4XNMLTN	In_Apple_Part_Id 	A2093	Header
FHLZL4XNMLTN	SVC_FATP_yield	Y	Header
FHLZL4XNMLTN	File_Name	L2TXN^00201963P_FQW_20191104073001001866.zip	Header
FHLZL4XNMLTN	ALL TEST PASSED	Y	T0C0R0
FH7ZK0LYMLDJ	Commodity_Cd 	Watch	Header
FH7ZK0LYMLDJ	Eng_Project_Cd 	N146B	Header
FH7ZK0LYMLDJ	Business Category	AC	Header
FH7ZK0LYMLDJ	New Buy	Y	Header
FH7ZK0LYMLDJ	L2_Vendor_Cd 	FQW	Header
FH7ZK0LYMLDJ	Input_TS	10/21/2019	Header
FH7ZK0LYMLDJ	Output_TS	10/22/2019	Header
FH7ZK0LYMLDJ	In_Apple_Part_Id 	A2095	Header
FH7ZK0LYMLDJ	SVC_FATP_yield	Y	Header
FH7ZK0LYMLDJ	File_Name	L2TXN^00201963P_FQW_20191104073001001866.zip	Header
FH7ZK0LYMLDJ	ALL TEST PASSED	Y	T0C0R0
FH7ZK0PUMLDJ	Commodity_Cd 	Watch	Header
FH7ZK0PUMLDJ	Eng_Project_Cd 	N146B	Header
FH7ZK0PUMLDJ	Business Category	AC	Header
FH7ZK0PUMLDJ	New Buy	Y	Header
FH7ZK0PUMLDJ	L2_Vendor_Cd 	FQW	Header
FH7ZK0PUMLDJ	Input_TS	10/21/2019	Header
FH7ZK0PUMLDJ	Output_TS	10/22/2019	Header
FH7ZK0PUMLDJ	In_Apple_Part_Id 	A2095	Header
FH7ZK0PUMLDJ	SVC_FATP_yield	Y	Header
FH7ZK0PUMLDJ	File_Name	L2TXN^00201963P_FQW_20191104073001001866.zip	Header
FH7ZK0PUMLDJ	ALL TEST PASSED	Y	T0C0R0
FH7ZK0SYMLDJ	Commodity_Cd 	Watch	Header
FH7ZK0SYMLDJ	Eng_Project_Cd 	N146B	Header
FH7ZK0SYMLDJ	Business Category	AC	Header
FH7ZK0SYMLDJ	New Buy	Y	Header
FH7ZK0SYMLDJ	L2_Vendor_Cd 	FQW	Header
FH7ZK0SYMLDJ	Input_TS	10/21/2019	Header
FH7ZK0SYMLDJ	Output_TS	10/22/2019	Header
FH7ZK0SYMLDJ	In_Apple_Part_Id 	A2095	Header
FH7ZK0SYMLDJ	SVC_FATP_yield	Y	Header
FH7ZK0SYMLDJ	File_Name	L2TXN^00201963P_FQW_20191104073001001866.zip	Header
FH7ZK0SYMLDJ	ALL TEST PASSED	Y	T0C0R0
FH7ZK0VWMLDJ	Commodity_Cd 	Watch	Header
FH7ZK0VWMLDJ	Eng_Project_Cd 	N146B	Header
FH7ZK0VWMLDJ	Business Category	AC	Header
FH7ZK0VWMLDJ	New Buy	Y	Header
FH7ZK0VWMLDJ	L2_Vendor_Cd 	FQW	Header
FH7ZK0VWMLDJ	Input_TS	10/21/2019	Header
FH7ZK0VWMLDJ	Output_TS	10/22/2019	Header
FH7ZK0VWMLDJ	In_Apple_Part_Id 	A2095	Header
FH7ZK0VWMLDJ	SVC_FATP_yield	Y	Header
FH7ZK0VWMLDJ	File_Name	L2TXN^00201963P_FQW_20191104073001001866.zip	Header
FH7ZK0VWMLDJ	ALL TEST PASSED	Y	T0C0R0
FH7ZK0WSMLDJ	Commodity_Cd 	Watch	Header
FH7ZK0WSMLDJ	Eng_Project_Cd 	N146B	Header
FH7ZK0WSMLDJ	Business Category	AC	Header
FH7ZK0WSMLDJ	New Buy	Y	Header
FH7ZK0WSMLDJ	L2_Vendor_Cd 	FQW	Header
FH7ZK0WSMLDJ	Input_TS	10/21/2019	Header
FH7ZK0WSMLDJ	Output_TS	10/21/2019	Header
FH7ZK0WSMLDJ	In_Apple_Part_Id 	A2095	Header
FH7ZK0WSMLDJ	SVC_FATP_yield	Y	Header
FH7ZK0WSMLDJ	File_Name	L2TXN^00201963P_FQW_20191104073001001866.zip	Header
FH7ZK0WSMLDJ	ALL TEST PASSED	Y	T0C0R0
FH7ZK0JRMLDJ	Commodity_Cd 	Watch	Header
FH7ZK0JRMLDJ	Eng_Project_Cd 	N146B	Header
FH7ZK0JRMLDJ	Business Category	AC	Header
FH7ZK0JRMLDJ	New Buy	Y	Header
FH7ZK0JRMLDJ	L2_Vendor_Cd 	FQW	Header
FH7ZK0JRMLDJ	Input_TS	10/21/2019	Header
FH7ZK0JRMLDJ	Output_TS	10/22/2019	Header
FH7ZK0JRMLDJ	In_Apple_Part_Id 	A2095	Header
FH7ZK0JRMLDJ	SVC_FATP_yield	Y	Header
FH7ZK0JRMLDJ	File_Name	L2TXN^00201963P_FQW_20191104073001001866.zip	Header
FH7ZK0JRMLDJ	ALL TEST PASSED	Y	T0C0R0
FH7ZK0LXMLDJ	Commodity_Cd 	Watch	Header
FH7ZK0LXMLDJ	Eng_Project_Cd 	N146B	Header
FH7ZK0LXMLDJ	Business Category	AC	Header
FH7ZK0LXMLDJ	New Buy	Y	Header
FH7ZK0LXMLDJ	L2_Vendor_Cd 	FQW	Header
FH7ZK0LXMLDJ	Input_TS	10/21/2019	Header
FH7ZK0LXMLDJ	Output_TS	10/22/2019	Header
FH7ZK0LXMLDJ	In_Apple_Part_Id 	A2095	Header
FH7ZK0LXMLDJ	SVC_FATP_yield	Y	Header
FH7ZK0LXMLDJ	File_Name	L2TXN^00201963P_FQW_20191104073001001866.zip	Header
FH7ZK0LXMLDJ	ALL TEST PASSED	Y	T0C0R0
FH7ZK0Q6MLDJ	Commodity_Cd 	Watch	Header
FH7ZK0Q6MLDJ	Eng_Project_Cd 	N146B	Header
FH7ZK0Q6MLDJ	Business Category	AC	Header
FH7ZK0Q6MLDJ	New Buy	Y	Header
FH7ZK0Q6MLDJ	L2_Vendor_Cd 	FQW	Header
FH7ZK0Q6MLDJ	Input_TS	10/21/2019	Header
FH7ZK0Q6MLDJ	Output_TS	10/22/2019	Header
FH7ZK0Q6MLDJ	In_Apple_Part_Id 	A2095	Header
FH7ZK0Q6MLDJ	SVC_FATP_yield	Y	Header
FH7ZK0Q6MLDJ	File_Name	L2TXN^00201963P_FQW_20191104073001001866.zip	Header
FH7ZK0Q6MLDJ	ALL TEST PASSED	Y	T0C0R0
FH7ZK0VMMLDJ	Commodity_Cd 	Watch	Header
FH7ZK0VMMLDJ	Eng_Project_Cd 	N146B	Header
FH7ZK0VMMLDJ	Business Category	AC	Header
FH7ZK0VMMLDJ	New Buy	Y	Header
FH7ZK0VMMLDJ	L2_Vendor_Cd 	FQW	Header
FH7ZK0VMMLDJ	Input_TS	10/21/2019	Header
FH7ZK0VMMLDJ	Output_TS	10/22/2019	Header
FH7ZK0VMMLDJ	In_Apple_Part_Id 	A2095	Header
FH7ZK0VMMLDJ	SVC_FATP_yield	Y	Header
FH7ZK0VMMLDJ	File_Name	L2TXN^00201963P_FQW_20191104073001001866.zip	Header
FH7ZK0VMMLDJ	ALL TEST PASSED	Y	T0C0R0
FH7ZL06UMLDJ	Commodity_Cd 	Watch	Header
FH7ZL06UMLDJ	Eng_Project_Cd 	N146B	Header
FH7ZL06UMLDJ	Business Category	AC	Header
FH7ZL06UMLDJ	New Buy	Y	Header
FH7ZL06UMLDJ	L2_Vendor_Cd 	FQW	Header
FH7ZL06UMLDJ	Input_TS	10/23/2019	Header
FH7ZL06UMLDJ	Output_TS	10/25/2019	Header
FH7ZL06UMLDJ	In_Apple_Part_Id 	A2095	Header
FH7ZL06UMLDJ	SVC_FATP_yield	Y	Header
FH7ZL06UMLDJ	File_Name	L2TXN^00201963P_FQW_20191104073001001866.zip	Header
FH7ZL06UMLDJ	ALL TEST PASSED	Y	T0C0R0
FH7ZK0HVMLDJ	Commodity_Cd 	Watch	Header
FH7ZK0HVMLDJ	Eng_Project_Cd 	N146B	Header
FH7ZK0HVMLDJ	Business Category	AC	Header
FH7ZK0HVMLDJ	New Buy	Y	Header
FH7ZK0HVMLDJ	L2_Vendor_Cd 	FQW	Header
FH7ZK0HVMLDJ	Input_TS	10/21/2019	Header
FH7ZK0HVMLDJ	Output_TS	10/22/2019	Header
FH7ZK0HVMLDJ	In_Apple_Part_Id 	A2095	Header
FH7ZK0HVMLDJ	SVC_FATP_yield	Y	Header
FH7ZK0HVMLDJ	File_Name	L2TXN^00201963P_FQW_20191104073001001866.zip	Header
FH7ZK0HVMLDJ	ALL TEST PASSED	Y	T0C0R0
FH7ZK0KHMLDJ	Commodity_Cd 	Watch	Header
FH7ZK0KHMLDJ	Eng_Project_Cd 	N146B	Header
FH7ZK0KHMLDJ	Business Category	AC	Header
FH7ZK0KHMLDJ	New Buy	Y	Header
FH7ZK0KHMLDJ	L2_Vendor_Cd 	FQW	Header
FH7ZK0KHMLDJ	Input_TS	10/21/2019	Header
FH7ZK0KHMLDJ	Output_TS	10/22/2019	Header
FH7ZK0KHMLDJ	In_Apple_Part_Id 	A2095	Header
FH7ZK0KHMLDJ	SVC_FATP_yield	Y	Header
FH7ZK0KHMLDJ	File_Name	L2TXN^00201963P_FQW_20191104073001001866.zip	Header
FH7ZK0KHMLDJ	ALL TEST PASSED	Y	T0C0R0
FH7ZK0LBMLDJ	Commodity_Cd 	Watch	Header
FH7ZK0LBMLDJ	Eng_Project_Cd 	N146B	Header
FH7ZK0LBMLDJ	Business Category	AC	Header
FH7ZK0LBMLDJ	New Buy	Y	Header
FH7ZK0LBMLDJ	L2_Vendor_Cd 	FQW	Header
FH7ZK0LBMLDJ	Input_TS	10/21/2019	Header
FH7ZK0LBMLDJ	Output_TS	10/22/2019	Header
FH7ZK0LBMLDJ	In_Apple_Part_Id 	A2095	Header
FH7ZK0LBMLDJ	SVC_FATP_yield	Y	Header
FH7ZK0LBMLDJ	File_Name	L2TXN^00201963P_FQW_20191104073001001866.zip	Header
FH7ZK0LBMLDJ	ALL TEST PASSED	Y	T0C0R0
FH7ZK0N6MLDJ	Commodity_Cd 	Watch	Header
FH7ZK0N6MLDJ	Eng_Project_Cd 	N146B	Header
FH7ZK0N6MLDJ	Business Category	AC	Header
FH7ZK0N6MLDJ	New Buy	Y	Header
FH7ZK0N6MLDJ	L2_Vendor_Cd 	FQW	Header
FH7ZK0N6MLDJ	Input_TS	10/21/2019	Header
FH7ZK0N6MLDJ	Output_TS	10/22/2019	Header
FH7ZK0N6MLDJ	In_Apple_Part_Id 	A2095	Header
FH7ZK0N6MLDJ	SVC_FATP_yield	Y	Header
FH7ZK0N6MLDJ	File_Name	L2TXN^00201963P_FQW_20191104073001001866.zip	Header
FH7ZK0N6MLDJ	ALL TEST PASSED	Y	T0C0R0
FH7ZK0P5MLDJ	Commodity_Cd 	Watch	Header
FH7ZK0P5MLDJ	Eng_Project_Cd 	N146B	Header
FH7ZK0P5MLDJ	Business Category	AC	Header
FH7ZK0P5MLDJ	New Buy	Y	Header
FH7ZK0P5MLDJ	L2_Vendor_Cd 	FQW	Header
FH7ZK0P5MLDJ	Input_TS	10/21/2019	Header
FH7ZK0P5MLDJ	Output_TS	10/22/2019	Header
FH7ZK0P5MLDJ	In_Apple_Part_Id 	A2095	Header
FH7ZK0P5MLDJ	SVC_FATP_yield	Y	Header
FH7ZK0P5MLDJ	File_Name	L2TXN^00201963P_FQW_20191104073001001866.zip	Header
FH7ZK0P5MLDJ	ALL TEST PASSED	Y	T0C0R0
FH7ZK0T1MLDJ	Commodity_Cd 	Watch	Header
FH7ZK0T1MLDJ	Eng_Project_Cd 	N146B	Header
FH7ZK0T1MLDJ	Business Category	AC	Header
FH7ZK0T1MLDJ	New Buy	Y	Header
FH7ZK0T1MLDJ	L2_Vendor_Cd 	FQW	Header
FH7ZK0T1MLDJ	Input_TS	10/21/2019	Header
